filename;optimal_result;best_possible;gap_percent;target_gap
Concentrated(10,6)-23;71;54.05;23.88%;5%
Concentrated(5,2)-12;35;35.00;0.00%;0%
Concentrated(5,2)-9;37;37.00;0.00%;0%
Concentrated(10,6)-5;73;59.48;18.52%;5%
Concentrated(20,5)-21;127;96.13;24.30%;10%
Concentrated(5,3)-22;33;33.00;0.00%;0%
Concentrated(10,3)-20;65;61.75;5.00%;5%
Concentrated(10,3)-11;67;55.75;16.79%;5%
Concentrated(20,12)-2;131;94.92;27.54%;10%
Concentrated(20,5)-1;129;96.80;24.96%;10%
Concentrated(10,6)-20;69;57.57;16.56%;5%
Concentrated(10,3)-24;71;58.78;17.21%;5%
Concentrated(10,6)-13;71;60.52;14.76%;5%
Concentrated(20,12)-21;133;95.27;28.37%;10%
Concentrated(10,6)-6;65;57.00;12.31%;5%
Concentrated(20,12)-4;137;96.31;29.70%;10%
Concentrated(20,5)-12;125;96.20;23.04%;10%
Concentrated(10,6)-3;77;61.36;20.31%;5%
Concentrated(20,12)-12;135;94.00;30.37%;10%
Concentrated(5,3)-6;37;37.00;0.00%;0%
Concentrated(10,6)-0;71;54.20;23.67%;5%
Concentrated(20,5)-5;125;96.33;22.93%;10%
Concentrated(5,2)-3;37;37.00;0.00%;0%
Concentrated(20,12)-3;135;97.26;27.96%;10%
Concentrated(10,6)-21;61;57.95;5.00%;5%
Concentrated(10,3)-1;63;59.73;5.20%;5%
Concentrated(20,5)-15;133;98.53;25.92%;10%
Concentrated(10,6)-24;77;61.95;19.55%;5%
Concentrated(10,6)-4;69;60.37;12.50%;5%
Concentrated(5,2)-11;39;39.00;0.00%;0%
Concentrated(5,3)-10;39;39.00;0.00%;0%
Concentrated(5,3)-13;37;37.00;0.00%;0%
Concentrated(5,3)-2;33;33.00;0.00%;0%
Concentrated(5,2)-13;37;37.00;0.00%;0%
Concentrated(10,6)-16;71;59.36;16.39%;5%
Concentrated(5,2)-10;37;37.00;0.00%;0%
Concentrated(10,3)-8;69;53.31;22.74%;5%
Concentrated(20,12)-0;133;96.06;27.77%;10%
Concentrated(20,5)-11;130;96.00;26.15%;10%
Concentrated(5,3)-4;33;33.00;0.00%;0%
Concentrated(10,3)-13;69;61.64;10.67%;5%
Concentrated(10,3)-0;73;61.32;16.00%;5%
Concentrated(20,12)-1;125;91.18;27.06%;10%
Concentrated(10,6)-12;69;55.78;19.16%;5%
Concentrated(5,3)-15;37;37.00;0.00%;0%
Concentrated(5,3)-21;39;39.00;0.00%;0%
Concentrated(10,6)-19;73;58.34;20.09%;5%
Concentrated(5,2)-0;41;41.00;0.00%;0%
Concentrated(20,5)-6;129;98.00;24.03%;10%
Concentrated(5,2)-8;35;35.00;0.00%;0%
Concentrated(20,5)-4;127;96.00;24.41%;10%
Concentrated(5,2)-24;39;39.00;0.00%;0%
Concentrated(5,3)-5;33;33.00;0.00%;0%
Concentrated(20,5)-22;131;96.92;26.01%;10%
Concentrated(5,2)-16;37;37.00;0.00%;0%
Concentrated(10,6)-2;73;57.06;21.83%;5%
Concentrated(5,2)-20;39;39.00;0.00%;0%
Concentrated(5,3)-11;35;35.00;0.00%;0%
Concentrated(5,3)-1;35;35.00;0.00%;0%
Concentrated(20,5)-18;129;100.00;22.48%;10%
Concentrated(5,2)-14;37;37.00;0.00%;0%
Concentrated(10,6)-8;71;61.33;13.62%;5%
Concentrated(10,3)-22;65;55.83;14.11%;5%
Concentrated(20,12)-20;131;95.00;27.48%;10%
Concentrated(5,2)-23;35;35.00;0.00%;0%
Concentrated(5,3)-12;37;37.00;0.00%;0%
Concentrated(5,3)-17;33;33.00;0.00%;0%
Concentrated(10,3)-16;65;61.75;5.00%;5%
Concentrated(20,5)-3;131;98.17;25.06%;10%
Concentrated(20,12)-13;131;92.00;29.77%;10%
Concentrated(10,6)-15;67;56.33;15.93%;5%
Concentrated(10,3)-5;67;62.00;7.46%;5%
Concentrated(5,3)-14;37;37.00;0.00%;0%
Concentrated(5,3)-8;39;39.00;0.00%;0%
Concentrated(10,6)-11;73;61.00;16.44%;5%
Concentrated(20,12)-8;137;90.81;33.72%;10%
Concentrated(10,3)-21;71;62.00;12.68%;5%
Concentrated(5,3)-20;33;33.00;0.00%;0%
Concentrated(5,2)-18;39;39.00;0.00%;0%
Concentrated(10,6)-18;69;62.37;9.60%;5%
Concentrated(5,3)-7;39;39.00;0.00%;0%
Concentrated(20,12)-16;131;90.59;30.85%;10%
Concentrated(20,5)-17;129;97.07;24.75%;10%
Concentrated(20,5)-14;137;96.00;29.93%;10%
Concentrated(10,6)-7;73;61.00;16.44%;5%
Concentrated(20,5)-10;121;87.20;27.93%;10%
Concentrated(20,12)-7;137;89.91;34.37%;10%
Concentrated(20,5)-19;137;96.14;29.82%;10%
Concentrated(20,12)-15;135;94.64;29.89%;10%
Concentrated(5,2)-7;41;41.00;0.00%;0%
Concentrated(5,3)-16;39;39.00;0.00%;0%
Concentrated(10,3)-10;65;59.00;9.23%;5%
Concentrated(20,5)-24;125;96.00;23.20%;10%
Concentrated(10,3)-7;65;59.00;9.23%;5%
Concentrated(5,3)-24;35;35.00;0.00%;0%
Concentrated(10,3)-2;67;57.00;14.93%;5%
Concentrated(10,6)-9;69;59.00;14.49%;5%
Concentrated(10,3)-19;71;57.86;18.51%;5%
Concentrated(10,3)-18;65;57.00;12.31%;5%
Concentrated(20,12)-6;135;87.00;35.56%;10%
Concentrated(5,2)-21;35;35.00;0.00%;0%
Concentrated(5,3)-19;39;39.00;0.00%;0%
Concentrated(20,5)-9;129;98.00;24.03%;10%
Concentrated(20,5)-7;125;98.05;21.56%;10%
Concentrated(10,3)-17;71;61.33;13.62%;5%
Concentrated(20,12)-24;131;97.14;25.85%;10%
Concentrated(20,5)-20;125;97.00;22.40%;10%
Concentrated(10,6)-1;63;57.00;9.52%;5%
Concentrated(5,2)-1;35;35.00;0.00%;0%
Concentrated(5,2)-15;37;37.00;0.00%;0%
Concentrated(20,5)-8;133;97.00;27.07%;10%
Concentrated(5,3)-9;33;33.00;0.00%;0%
Concentrated(10,6)-10;69;56.16;18.61%;5%
Concentrated(10,3)-3;71;63.30;10.84%;5%
Concentrated(10,3)-23;69;57.14;17.18%;5%
Concentrated(20,5)-2;133;96.66;27.32%;10%
Concentrated(10,3)-12;67;60.70;9.41%;5%
Concentrated(20,12)-23;131;92.00;29.77%;10%
Concentrated(20,5)-16;133;101.92;23.37%;10%
Concentrated(20,12)-9;139;98.52;29.13%;10%
Concentrated(5,2)-4;39;39.00;0.00%;0%
Concentrated(5,3)-23;39;39.00;0.00%;0%
Concentrated(10,3)-4;65;57.38;11.72%;5%
Concentrated(20,12)-10;127;86.97;31.52%;10%
Concentrated(5,3)-0;31;31.00;0.00%;0%
Concentrated(5,2)-2;37;37.00;0.00%;0%
Concentrated(10,3)-6;67;62.02;7.43%;5%
Concentrated(20,5)-13;130;98.62;24.14%;10%
Concentrated(5,3)-18;35;35.00;0.00%;0%
Concentrated(20,12)-19;127;87.69;30.95%;10%
Concentrated(5,2)-5;33;33.00;0.00%;0%
Concentrated(10,3)-14;67;63.00;5.97%;5%
Concentrated(20,12)-22;135;98.83;26.79%;10%
Concentrated(5,3)-3;35;35.00;0.00%;0%
Concentrated(10,3)-9;65;53.46;17.75%;5%
Concentrated(20,12)-17;135;95.24;29.45%;10%
Concentrated(5,2)-6;41;41.00;0.00%;0%
Concentrated(20,12)-14;133;95.33;28.32%;10%
Concentrated(20,12)-18;121;91.08;24.73%;10%
Concentrated(20,5)-0;128;96.02;24.98%;10%
Concentrated(20,12)-5;139;89.42;35.67%;10%
Concentrated(20,12)-11;127;92.02;27.54%;10%
Concentrated(5,2)-17;33;33.00;0.00%;0%
Concentrated(10,6)-22;59;56.05;5.00%;5%
Concentrated(10,6)-14;67;59.50;11.19%;5%
Concentrated(10,3)-15;71;66.47;6.38%;5%
Concentrated(10,6)-17;73;59.31;18.75%;5%
Concentrated(5,2)-22;41;41.00;0.00%;0%
Concentrated(20,5)-23;127;90.20;28.98%;10%
Concentrated(5,2)-19;39;39.00;0.00%;0%
